"country","admin1","id1","admin2","id2","type","alt_names"
"Afghanistan","Logar","AFG.21_1","Charkh","AFG.21.2_1","Wuleswali",NA
"Afghanistan","Logar","AFG.21_1","Khushi","AFG.21.3_1","Wuleswali",NA
"Afghanistan","Logar","AFG.21_1","Muhammad Agha","AFG.21.4_1","Wuleswali",NA
"Afghanistan","Logar","AFG.21_1","Puli Alam","AFG.21.5_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Achin","AFG.22.1_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Bati Kot","AFG.22.2_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Chaparhar","AFG.22.3_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Dara-I-Nur","AFG.22.4_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Dih Bala","AFG.22.5_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Dur Baba","AFG.22.6_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Goshta","AFG.22.7_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Hisarak","AFG.22.8_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Jalal abad","AFG.22.9_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Kama","AFG.22.10_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Khogyani","AFG.22.11_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Kuz Kunar","AFG.22.12_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Lal Pur","AFG.22.13_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Muhmand Dara","AFG.22.14_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Nazyan","AFG.22.15_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Pachir Wa Agam","AFG.22.16_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Rodat","AFG.22.17_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Sherzad","AFG.22.18_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Shinwar","AFG.22.19_1","Wuleswali",NA
"Afghanistan","Nangarhar","AFG.22_1","Surkh Rod","AFG.22.20_1","Wuleswali",NA
"Afghanistan","Nimroz","AFG.23_1","Chakhansur","AFG.23.1_1","Wuleswali",NA
"Afghanistan","Nimroz","AFG.23_1","Char Burjak","AFG.23.2_1","Wuleswali","Chahar Burja"
"Afghanistan","Nimroz","AFG.23_1","Kang","AFG.23.3_1","Wuleswali",NA
"Afghanistan","Nimroz","AFG.23_1","Khash Rod","AFG.23.4_1","Wuleswali",NA
"Afghanistan","Nimroz","AFG.23_1","Zaranj","AFG.23.5_1","Wuleswali",NA
"Afghanistan","Nuristan","AFG.24_1","Bargi Matal","AFG.24.1_1","Wuleswali",NA
"Afghanistan","Nuristan","AFG.24_1","Kamdesh","AFG.24.2_1","Wuleswali",NA
"Afghanistan","Nuristan","AFG.24_1","Mandol","AFG.24.3_1","Wuleswali",NA
"Afghanistan","Nuristan","AFG.24_1","Nuristan","AFG.24.4_1","Wuleswali",NA
"Afghanistan","Nuristan","AFG.24_1","Wama","AFG.24.5_1","Wuleswali",NA
"Afghanistan","Nuristan","AFG.24_1","Waygal","AFG.24.6_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Burmul","AFG.25.1_1","Wuleswali","Barmal"
"Afghanistan","Paktika","AFG.25_1","Dila","AFG.25.2_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Gayan","AFG.25.3_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Gomal","AFG.25.4_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Mata Khan","AFG.25.5_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Nika","AFG.25.6_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Omna","AFG.25.7_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Sar Hawza","AFG.25.8_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Sarobi","AFG.25.9_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Sharan","AFG.25.10_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Urgun","AFG.25.11_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Wazakhwa","AFG.25.12_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Wolmamay","AFG.25.13_1","Wuleswali","Wor Mamay"
"Afghanistan","Paktika","AFG.25_1","Zarghun Shahr","AFG.25.14_1","Wuleswali",NA
"Afghanistan","Paktika","AFG.25_1","Ziluk","AFG.25.15_1","Wuleswali","Ziruk"
"Afghanistan","Paktya","AFG.26_1","Azro","AFG.26.1_1","Wuleswali","Azra"
"Afghanistan","Paktya","AFG.26_1","Chamkani","AFG.26.2_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Dand Wa Patan","AFG.26.3_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Gardez","AFG.26.4_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Jadran","AFG.26.5_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Jaji","AFG.26.6_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Jani Khel","AFG.26.7_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Lija Mangal","AFG.26.8_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Sayid Karam","AFG.26.9_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Shamul","AFG.26.10_1","Wuleswali","Shamal"
"Afghanistan","Paktya","AFG.26_1","Shwak","AFG.26.11_1","Wuleswali",NA
"Afghanistan","Paktya","AFG.26_1","Zurmat","AFG.26.12_1","Wuleswali",NA
"Afghanistan","Panjshir","AFG.27_1","Hisa-I-Awali Panjsher","AFG.27.1_1","Wuleswali",NA
"Afghanistan","Panjshir","AFG.27_1","Hisa-I-Duwum Panjsher","AFG.27.2_1","Wuleswali",NA
"Afghanistan","Panjshir","AFG.27_1","Panjsher","AFG.27.3_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Bagram","AFG.28.1_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Chaharikar","AFG.28.2_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Ghorband","AFG.28.3_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Jabalussaraj","AFG.28.4_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Kohi Safi","AFG.28.5_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Salang","AFG.28.6_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Shekh Ali","AFG.28.7_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Shinwari","AFG.28.8_1","Wuleswali",NA
"Afghanistan","Parwan","AFG.28_1","Surkhi Parsa","AFG.28.9_1","Wuleswali",NA
"Afghanistan","Samangan","AFG.29_1","Aybak","AFG.29.1_1","Wuleswali",NA
"Afghanistan","Samangan","AFG.29_1","Dara-i-Suf","AFG.29.2_1","Wuleswali",NA
"Afghanistan","Samangan","AFG.29_1","Hazrati Sultan","AFG.29.3_1","Wuleswali",NA
"Afghanistan","Samangan","AFG.29_1","Khuram Wa Sarbagh","AFG.29.4_1","Wuleswali",NA
