Time.Series.ID,Country,Admin.1,Admin.2,City.,year,GID_1,GID_2,population_per_1km,EVI,elevation,LC_10,LC_20,LC_30,LC_40,LC_120,LC_122,LC_130,LC_150,LC_200,LC_11,LC_12,LC_100,LC_190,LC_210,LC_153,LC_170,LC_180,LC_201,LC_60,LC_62,LC_110,LC_152,LC_50,LC_61,LC_70,LC_121,LC_202,LC_80,LC_71,LC_160,worldclim_1,worldclim_10,worldclim_11,worldclim_12,worldclim_13,worldclim_14,worldclim_15,worldclim_16,worldclim_17,worldclim_18,worldclim_19,worldclim_2,worldclim_3,worldclim_4,worldclim_5,worldclim_6,worldclim_7,worldclim_8,worldclim_9
14,India,Gujarat,Kheda,Rural,1987,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
14,India,Gujarat,Kheda,Rural,1988,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
15,India,Gujarat,Kheda,Rural,1987,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
15,India,Gujarat,Kheda,Rural,1988,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
16,India,Uttar Pradesh,Ghaziabad,Rural,1986,IND.34_1,IND.34.30_1,2222.796735,2874.833252,213,0.076274435,0.815254887,0.021751629,0.000862399,0.001437332,0,0.005461863,0.000670755,0,0.002778842,0.00488693,9.58E-05,0.067937907,0.001916443,0,0,0,0,0.000670755,0,0,0,0,0,0,0,0,0,0,0,24.57083321,32.06666565,15.21666622,839,268,5,137.6368713,673,30,299,47,13.36666679,40.11976242,689.8763428,40.20000076,6.800000191,33.39999771,29.5,27.5
16,India,Uttar Pradesh,Ghaziabad,Rural,1987,IND.34_1,IND.34.30_1,2222.796735,2874.833252,213,0.076274435,0.815254887,0.021751629,0.000862399,0.001437332,0,0.005461863,0.000670755,0,0.002778842,0.00488693,9.58E-05,0.067937907,0.001916443,0,0,0,0,0.000670755,0,0,0,0,0,0,0,0,0,0,0,24.57083321,32.06666565,15.21666622,839,268,5,137.6368713,673,30,299,47,13.36666679,40.11976242,689.8763428,40.20000076,6.800000191,33.39999771,29.5,27.5
16,India,Uttar Pradesh,Ghaziabad,Rural,1988,IND.34_1,IND.34.30_1,2222.796735,2874.833252,213,0.076274435,0.815254887,0.021751629,0.000862399,0.001437332,0,0.005461863,0.000670755,0,0.002778842,0.00488693,9.58E-05,0.067937907,0.001916443,0,0,0,0,0.000670755,0,0,0,0,0,0,0,0,0,0,0,24.57083321,32.06666565,15.21666622,839,268,5,137.6368713,673,30,299,47,13.36666679,40.11976242,689.8763428,40.20000076,6.800000191,33.39999771,29.5,27.5
17,India,Gujarat,Kheda,Rural,1989,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
18,India,Gujarat,Kheda,Rural,1989,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
19,India,Gujarat,Kheda,Rural,1985,IND.11_1,IND.11.17_1,454.5308782,2598.166748,76,0.277594402,0.582453129,0.073893143,0.040335358,0.007393715,0,0.003960919,0,0,0.001804419,0,0,0.003740868,0.004731098,0,0.000132031,0.000198046,0,0.003564827,0,0,0,0.000198046,0,0,0,0,0,0,0,26.95416641,32.34999847,20.81666756,815,310,1,155.3201752,699,4,90,4,13.5666666,45.79096222,447.8805542,41.09999847,11.19999981,29.79999924,28.43333244,26.58333397
