ISO,cell,elevation,population_density,EVI,cattle,goat,sheep,irrigation,LC_200,LC_202,LC_210,LC_150,LC_180,LC_130,LC_120,LC_170,LC_201,LC_110,LC_30,LC_40,LC_153,LC_190,LC_20,LC_100,LC_62,LC_60,LC_11,LC_10,worldclim_1,worldclim_10,worldclim_11,worldclim_12,worldclim_13,worldclim_14,worldclim_15,worldclim_16,worldclim_17,worldclim_18,worldclim_19,worldclim_2,worldclim_3,worldclim_4,worldclim_5,worldclim_6,worldclim_7,worldclim_8,worldclim_9,nrow,ncol,lon,lat
DJI,157,548,782.187092781067,782.187092781067,903.07134313321,903.07134313321,903.07134313321,0.277158796787262,0.946759259259259,0,0,0.025462962962963,0.0192901234567901,0.00462962962962963,0,0,0.00385802469135802,0,0,0,0,0,0,0,0,0,0,0,28.6789351701736,33.235185318523,24.2559027406904,163.229166666667,38.1527777777778,3.65277777777778,71.7867053879632,86.0833333333333,23.0833333333333,69.2430555555556,25.6388888888889,8.9072916176584,47.0597377353244,370.27888001336,38.8062500158946,19.8895833426052,18.9166667064031,32.6299768818749,29.6609952317344,18,17,42.1070831813,11.7579168175
DJI,158,403,868.084484100342,868.084484100342,950.820915095846,950.820915095846,950.820915095846,0.0554317496716976,0.869598765432099,0,0,0.0501543209876543,0.0748456790123457,0.00385802469135802,0,0,0.00154320987654321,0,0,0,0,0,0,0,0,0,0,0,28.8873553276062,33.5166668362088,24.4420138332579,157.923611111111,34.9166666666667,3.47222222222222,65.6595223479801,78.7847222222222,22.8194444444444,62.9861111111111,27.9305555555556,8.8994791507721,46.9843557145861,374.257620281643,39.0027778148651,20.0645834671127,18.9381943543752,32.9136574268341,31.1489582194222,18,17,42.2070831813,11.7579168175
DJI,159,259,2651.99874687195,2651.99874687195,808.187335765057,808.187335765057,808.187335765057,0,0.929783950617284,0,0.00848765432098765,0.0154320987654321,0.0231481481481482,0.0115740740740741,0,0,0.00462962962962963,0,0,0,0.00694444444444444,0,0,0,0,0,0,0,28.7056423425674,33.3986110289892,24.2561342981127,159.083333333333,32.2777777777778,3.33333333333333,56.9303454558055,72.1319444444444,23.5972222222222,56.8402777777778,31.7847222222222,8.24265047907829,44.8375511964162,375.794574101766,38.4659722381168,20.1069444219271,18.3590278228124,32.8319443464279,30.8624999655618,18,17,42.3070831813,11.7579168175
DJI,160,487,3310.03660106659,3310.03660106659,724.478728446693,724.478728446693,724.478728446693,0,0.630401234567901,0.00154320987654321,0.00617283950617284,0.0594135802469136,0.148148148148148,0.0200617283950617,0,0,0.114197530864198,0,0,0,0.0200617283950617,0,0,0,0,0,0,0,29.7476562658946,34.3435184558233,25.4770833916134,131.597222222222,25.4722222222222,2.20138888888889,50.8035165733761,54.0902777777778,19.5,42.8472222222222,27.3888888888889,7.655729148123,43.3205229971144,362.680700937907,39.1034722063277,21.4798611270057,17.623611079322,33.8175924751494,31.6999999549654,18,17,42.4070831813,11.7579168175
DJI,161,556,2007.78466415405,2007.78466415405,675.083172088993,675.083172088993,675.083172088993,0,0.466049382716049,0,0,0,0.325617283950617,0.033179012345679,0,0,0.175154320987654,0,0,0,0,0,0,0,0,0,0,0,25.5883969598346,30.2706018156476,21.1770833068424,265.277777777778,39.0694444444444,6.02083333333333,42.651507112715,95.7847222222222,41.6111111111111,69.3402777777778,71.7152777777778,9.39693288339509,48.6209866470761,374.442152447171,35.5680555502574,16.2666667103767,19.301388780276,29.6611111958822,28.0556713740031,18,17,42.5070831813,11.7579168175
DJI,162,76,5838.76090717316,5838.76090717316,1001.82590700737,1001.82590700737,1001.82590700737,0,0.0285493827160494,0,0,0,0.835648148148148,0.0177469135802469,0.00308641975308642,0,0.107253086419753,0,0,0,0,0,0,0.00771604938271605,0,0,0,0,22.3722512192196,26.9164351622264,17.972106496493,380.895833333333,61.1666666666667,11.6666666666667,44.1400525305006,151.270833333333,63.7708333333333,112.888888888889,86.3402777777778,10.382812473509,51.3112501038445,370.051076041328,32.7930552826987,12.5652777552605,20.2277774413427,25.8722222381168,22.0405091842016,18,17,42.6070831813,11.7579168175
DJI,163,68,7626.58085632324,7626.58085632324,1010.56221482947,1010.56221482947,1010.56221482947,0,0.0108359133126935,0,0.000773993808049536,0,0.409442724458204,0.0735294117647059,0.0820433436532508,0,0.207430340557276,0.0859133126934985,0,0.0410216718266254,0,0,0.0595975232198143,0.0294117647058824,0,0,0,0,26.3965856234233,31.4278935723835,21.7877314620548,240.215277777778,35.0069444444444,3.86111111111111,43.5357760058509,86.3819444444444,29.4722222222222,47.5763888888889,74.2361111111111,8.21562504437235,43.7876069280836,394.719845030043,36.3833334578408,17.6604167355431,18.7229167355431,23.2648148006863,30.4052083359824,18,17,42.7070831813,11.7579168175
DJI,172,518,1934.93949842453,1934.93949842453,758.04528695765,758.04528695765,758.04528695765,0,0.873456790123457,0,0,0.00231481481481482,0,0.0154320987654321,0,0,0.108024691358025,0.000771604938271605,0,0,0,0,0,0,0,0,0,0,29.3198206689623,33.7520830763711,24.9987268712786,142.6875,38.6180555555556,2.83333333333333,86.039507759942,84.5902777777778,15.8472222222222,69.625,17.0555555555556,8.49681713183721,46.5071867307027,361.012343512641,39.1048611270057,20.8368054495917,18.2680556774139,33.1311343775855,26.8835648695628,18,17,41.9070831813,11.6579168175
DJI,173,495.5,1127.35429096222,1127.35429096222,774.213943012065,774.213943012065,774.213943012065,0.166286543011665,0.635030864197531,0,0,0,0.0108024691358025,0.266203703703704,0,0,0.087962962962963,0,0,0,0,0,0,0,0,0,0,0,27.1594618293974,31.5643517308765,22.8302082750532,213.6875,48.8263888888889,5.25,72.3356952667236,111.729166666667,28.5347222222222,88.5347222222222,33.375,9.37436338265737,48.9632556438446,362.03811179267,37.278472105662,18.1409722632832,19.137499888738,30.9085648589664,24.6754630274243,18,17,42.0070831813,11.6579168175
DJI,174,518,1010.39523267746,1010.39523267746,906.027819723165,906.027819723165,906.027819723165,0,0.674382716049383,0,0,0.00385802469135803,0.0455246913580247,0.246141975308642,0.00154320987654321,0,0.0285493827160494,0,0,0,0,0,0,0,0,0,0,0,25.9286168548796,30.4048610925674,21.5060185061561,255.111111111111,53.9236111111111,6.77083333333333,64.2803168031904,125.104166666667,36.3958333333333,98.0138888888889,44.1527777777778,9.55248841312197,48.8525194327037,369.456012090047,36.2534721692403,16.721527867847,19.5319443411297,29.7475694285499,24.2961804999246,18,17,42.1070831813,11.6579168175
